season,game_id,date,matchup,home_team,home_abbr,home_score,home_win,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,away_team,away_abbr,away_score,away_win,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,total_points,point_differential
2023,0022300136,2023-11-04,BKN vs. BOS,Brooklyn Nets,BKN,114,False,0.43,0.327,0.647,42,22,5,Boston Celtics,BOS,124,True,0.478,0.333,0.852,50,22,11,238,10
2023,0022300137,2023-11-04,HOU vs. SAC,Houston Rockets,HOU,107,True,0.46,0.361,0.7,53,28,11,Sacramento Kings,SAC,89,False,0.381,0.268,0.737,43,20,11,196,18
2023,0022300134,2023-11-04,LAL @ ORL,Orlando Magic,ORL,120,True,0.455,0.364,0.842,51,29,15,Los Angeles Lakers,LAL,101,False,0.44,0.267,0.905,40,17,17,221,19
2023,0022300133,2023-11-04,IND vs. CHA,Indiana Pacers,IND,124,False,0.484,0.489,0.75,36,31,14,Charlotte Hornets,CHA,125,True,0.534,0.4,1.0,41,23,13,249,1
2023,0022300144,2023-11-05,MEM @ POR,Portland Trail Blazers,POR,100,False,0.389,0.311,0.8,47,23,14,Memphis Grizzlies,MEM,112,True,0.506,0.406,0.692,49,27,16,212,12
2023,0022300141,2023-11-05,TOR @ SAS,San Antonio Spurs,SAS,116,False,0.5,0.313,0.769,46,30,17,Toronto Raptors,TOR,123,True,0.454,0.396,0.615,47,29,14,239,7
2023,0022300143,2023-11-05,DAL vs. CHA,Dallas Mavericks,DAL,124,True,0.473,0.333,0.75,47,31,10,Charlotte Hornets,CHA,118,False,0.495,0.267,0.571,43,30,8,242,6
2023,0022300140,2023-11-05,PHX @ DET,Detroit Pistons,DET,106,False,0.494,0.348,0.857,33,25,16,Phoenix Suns,PHX,120,True,0.5,0.381,0.897,43,29,18,226,14
2023,0022300142,2023-11-05,CLE vs. GSW,Cleveland Cavaliers,CLE,115,True,0.494,0.297,0.786,54,26,18,Golden State Warriors,GSW,104,False,0.362,0.39,0.667,44,26,13,219,11
2023,0022300150,2023-11-06,MIA vs. LAL,Miami Heat,MIA,108,True,0.466,0.324,0.875,44,30,17,Los Angeles Lakers,LAL,107,False,0.543,0.308,0.786,38,28,17,215,1
2023,0022300155,2023-11-06,OKC vs. ATL,Oklahoma City Thunder,OKC,126,True,0.479,0.4,0.957,49,27,13,Atlanta Hawks,ATL,117,False,0.373,0.333,0.844,59,27,15,243,9
2023,0022300156,2023-11-06,NOP @ DEN,Denver Nuggets,DEN,134,True,0.537,0.385,0.739,45,37,9,New Orleans Pelicans,NOP,116,False,0.5,0.433,0.867,38,24,13,250,18
2023,0022300152,2023-11-06,CHI vs. UTA,Chicago Bulls,CHI,130,True,0.516,0.529,0.842,36,26,8,Utah Jazz,UTA,113,False,0.477,0.372,0.882,52,32,22,243,17
2023,0022300145,2023-11-06,GSW @ DET,Detroit Pistons,DET,109,False,0.475,0.433,0.952,39,23,14,Golden State Warriors,GSW,120,True,0.474,0.293,0.762,44,26,11,229,11
2023,0022300153,2023-11-06,SAC @ HOU,Houston Rockets,HOU,122,True,0.573,0.484,0.778,39,28,10,Sacramento Kings,SAC,97,False,0.444,0.35,0.55,34,22,13,219,25
2023,0022300151,2023-11-06,LAC @ NYK,New York Knicks,NYK,111,True,0.466,0.387,0.944,48,28,19,LA Clippers,LAC,97,False,0.493,0.344,0.875,31,21,22,208,14
2023,0022300146,2023-11-06,SAS @ IND,Indiana Pacers,IND,152,True,0.579,0.526,0.957,49,38,14,San Antonio Spurs,SAS,111,False,0.426,0.308,0.767,36,26,11,263,41
2023,0022300154,2023-11-06,BOS @ MIN,Minnesota Timberwolves,MIN,114,True,0.518,0.351,0.52,45,26,23,Boston Celtics,BOS,109,False,0.391,0.282,0.765,45,20,16,223,5
2023,0022300148,2023-11-06,PHI vs. WAS,Philadelphia 76ers,PHI,146,True,0.56,0.387,0.889,45,37,15,Washington Wizards,WAS,128,False,0.51,0.412,0.8,38,31,19,274,18
2023,0022300149,2023-11-06,BKN vs. MIL,Brooklyn Nets,BKN,125,False,0.485,0.356,0.846,46,22,8,Milwaukee Bucks,MIL,129,True,0.479,0.333,0.875,48,26,10,254,4
2023,0022300147,2023-11-06,DAL @ ORL,Orlando Magic,ORL,102,False,0.471,0.296,0.778,38,27,20,Dallas Mavericks,DAL,117,True,0.5,0.375,0.714,31,21,14,219,15
2023,0022300166,2023-11-08,NOP @ MIN,Minnesota Timberwolves,MIN,122,True,0.549,0.405,0.708,48,30,16,New Orleans Pelicans,NOP,101,False,0.387,0.286,0.955,40,23,17,223,21
2023,0022300162,2023-11-08,PHX @ CHI,Chicago Bulls,CHI,115,False,0.438,0.424,0.739,39,30,14,Phoenix Suns,PHX,116,True,0.422,0.396,0.84,54,32,21,231,1
2023,0022300160,2023-11-08,LAC @ BKN,Brooklyn Nets,BKN,100,True,0.402,0.366,0.846,49,22,14,LA Clippers,LAC,93,False,0.396,0.222,1.0,51,22,15,193,7
2023,0022300161,2023-11-08,NYK vs. SAS,New York Knicks,NYK,126,True,0.46,0.452,0.682,47,28,3,San Antonio Spurs,SAS,105,False,0.489,0.265,0.615,46,31,13,231,21
2023,0022300170,2023-11-08,SAC vs. POR,Sacramento Kings,SAC,121,True,0.461,0.297,0.737,50,32,21,Portland Trail Blazers,POR,118,False,0.506,0.364,0.759,36,26,18,239,3
2023,0022300159,2023-11-08,BOS @ PHI,Philadelphia 76ers,PHI,106,True,0.442,0.265,0.867,56,20,12,Boston Celtics,BOS,103,False,0.396,0.319,0.842,43,28,12,209,3
2023,0022300168,2023-11-08,DAL vs. TOR,Dallas Mavericks,DAL,116,False,0.476,0.415,0.613,38,25,15,Toronto Raptors,TOR,127,True,0.495,0.306,0.667,50,27,11,243,11
2023,0022300165,2023-11-08,MIL vs. DET,Milwaukee Bucks,MIL,120,True,0.456,0.297,0.844,36,19,10,Detroit Pistons,DET,118,False,0.49,0.241,0.938,53,28,17,238,2
2023,0022300167,2023-11-08,CLE @ OKC,Oklahoma City Thunder,OKC,128,True,0.512,0.429,0.933,41,23,14,Cleveland Cavaliers,CLE,120,False,0.506,0.31,0.73,41,26,18,248,8
2023,0022300169,2023-11-08,DEN vs. GSW,Denver Nuggets,DEN,108,True,0.446,0.314,0.682,45,24,6,Golden State Warriors,GSW,105,False,0.43,0.314,0.769,49,21,9,213,3
2023,0022300164,2023-11-08,MIA @ MEM,Memphis Grizzlies,MEM,102,False,0.389,0.297,0.75,38,20,13,Miami Heat,MIA,108,True,0.455,0.393,0.844,44,22,19,210,6
2023,0022300163,2023-11-08,LAL @ HOU,Houston Rockets,HOU,128,True,0.548,0.424,0.632,57,26,11,Los Angeles Lakers,LAL,94,False,0.424,0.28,0.625,34,20,9,222,34
2023,0022300158,2023-11-08,UTA @ IND,Indiana Pacers,IND,134,True,0.515,0.317,0.85,46,26,11,Utah Jazz,UTA,118,False,0.469,0.407,0.944,47,26,21,252,16
